"Company","Position_Title","Review_Title","Cons","Pros","Review_Date","C_F_Employee"
"Apple","Software Engineer","Management and Mediocrity","Almost no work-life balance. Value technical managers over the skills a manager actually needs. Arrogance is pervasive and destructive.","Pay and benefits were decent.","Feb 8, 2021","Former"
"Apple","Senior Software Engineer","Terrible company for minorities","The work force is highly biased and unsupportive towards the minorities. Their diversity and inclusion is only for the public image. The inside is totally different.","The pay is great, but nothing other than that","Feb 2, 2021","Former"
"Apple","Senior Software Engineer","Review","No growth, Micromanagement, Career growth difficult","Good Benefit, Salary, Networking, Flexible Hours","Feb 1, 2021","Current"
"Apple","Senior Software Engineer","If you care about engineering, stay away from IS&T","No WLB, and too much politics. No learning and growth opportunity. Even someone said IS&T improved over the years, and I think it is getting worse.","Typical apple perks: RSU + ESPP + Bonus if you are lucky.","Jan 27, 2021","Former"
"Apple","Lead Developer","Woke Cult Weridos","You have to virtue signal and drink lots off koolaid","You get to act snooty to all your friends and pretend your better then them.","Jan 14, 2021","Former"
"Apple","Computer Programmer","Bad","Big pay for a big company","Steve JObs is a bad CEO","Jan 10, 2021","Current"
"Apple","Front End Developer","useless company","it is apple inc, so.","bloodsucking managers takes break sometimes","Jan 9, 2021","Former"
"Apple","Software Engineer","Good Company","no cons, need work hard","Good products, good pay, top company","Dec 6, 2020","Current"
"Apple","Engineer","Decent pay, feels like a cult","Feels like you've joined a cult.","Amazing pay for the work done.","Sep 20, 2020","Former"
"Apple","Software Engineer","avoid IS&T BU at any cost. life and well being is more important","many to list. you will not be seen as peer human. zero humanity and respect","no pros to think of","Sep 17, 2020","Former"
"Apple","Software Engineer","Here are the bad things","Reviews are accurate, all of the bad ones at least. They use a lot of OFFSHORE contractors, and high percentage are not good, same for the managers, they used to be not so good contractors and are managers now.

Is not usually bad to use contractors due to the flexibility of scale up and down on people, but when you have 5 employees and 15 contractors and they just come and go, you don't really have that flexibility, it's the same 15 positions but filled but people that are taken to extreme burn out and writing code and creating designs worst than recent grads. Engineer quality is the worst I've ever seen in my life overall with 18 YOE. Are there good folks there? Yes, absolutely, but when you have 5 employees and 15 contractors and 50% suck and are OFFSHORE in India on a completely different timezone you are in for a mess and a career hara-kiri. 

Unless you are making much less than the current TC offered, I would advise against it. It doesn't matter the team, trust me on that, I have experienced and interacted with several teams, it's all the same. If TC is significantly higher take it, and leave soon to similar paying company. I'm looking for my way out.

All the contractors are from Tata Consulting and Infosys, those guys are suffering and being exploited. 100% of the people I've interacted with are Indians, diversity is 0%, it's incredible, you feel like you are in India yourself, never seem this in my life and I've worked in all the MAGAF.","Great pay, great benefits and you have Apple on your resume.","Apr 9, 2020","Former"
"Apple","Site Reliability Engineer","Unimaginable chaos, a broken system, and a cold and uncaring corporate machine.","- Extremely outdated tools and technology. 
- Poor resource allocation.
- Extremely poor quality of internal tools.
- Constant reorganizations make it impossible to focus on a project.
- Recruiters don't care about you, they just want to fill their numbers.","Financial stability. Appears good on a resume.","Nov 14, 2019","Former"
"Apple","ASIC Engineering Manager","Abusive management in silicon group","Many executives learned only the jerk side of Steve Jobs without having his brilliance.","Best brand, concentration of smart people, good pay.","Aug 9, 2019","Current"
"Apple","Software","Prohead","You will have to work really hard to keep a job","Good location in that place of area.","Aug 8, 2019","Current"
"Apple","Engineer","IS&T is a terrible terrible place to work as engineers !!","- IS&T is the worst place to work for engineers. Swamped with 3rd party contractors, indian body-shop mostly, management treats them terribly. Rude, unprofessional and unethical work culture. Senior leadership within IS&T are terrible, egoistic megalomaniac, with zero leadership skills. They don't know how to lead by example.
- There is no place for engineers here in this group. Rampant politics and horrible work culture. Managers in this group are nothing but ""project managers"", who have no technical / engineering acumen, and have no eye towards architecture, code or good engineering practices. They treat engineers like second class citizens. These managers have no interest in career growth and development of their employees. All they care about is themselves and their RSU refreshers, appeasing their bosses anyway possible to get there.
- Most of the teams in IS&T build internal and corporate tools/applications. and they are dismal at that, from infrastructure to development processes, terrible..terrible !! You won't be working on anything world changing. 
- If you think you can change groups easily, you are sadly mistaken. It is very difficult to change groups/departments within Apple. You need to let your manager of your interest first, then go through the entire recruitment process, as if you are an external candidate, and if for whatever reason, you do not end up landing that new position, you would face extreme retaliation in your current team, your current manager would screw your career up. You would be ostracized, and he/she would make sure you have no future left in Apple. 
- IS&T has a bad reputation within apple, and every other group within apple treats IS&T folks that way. Other engineering groups are treated better. In short, apple has this subtle class-based culture. Not everyone is treated equally and respect.

If you are an engineer and thinking about joining Apple and IS&T assuming you would be able to do amazing engineering work, you are sadly mistaken. IS&T is the place where engineers come to destroy their career. My personal advice - Stay away from this group.","- Apple brand on resume if you care about these sort of superficial things. 
- Product discounts","Jun 15, 2019","Current"
"Apple","Software Developer","Politics, fighting, and bad infrastructure","Infrastructure in the project was abysmal. 
Unprofessional fighting in meetings.
High turnover in the project.

I found out that another employee and myself had called HR on the same manager after we left. Later I found out that manager was trying to fire another employee that had changed teams to get away from him.","Benefits are the same across the organization.","May 12, 2019","Former"
"Apple","App Developer","Apple IS&T, toxic place, not actually Apple","Apple IS&T is the worst, most toxic environment at Apple.  When you work here, you do not really work for Apple, you are like outsiders.  It is truly scary that a place like this can exist at a company like Apple.  You should not join.  Good people cannot fix broken environments.  The place is broken because of legacy culture from the top.

They will make it sound nice and paint a nice picture with words, but once you get there, you will realize you are trapped in a bait and switch, career suicide.   They could get sued for this.  Many managers are mean, incompetent, or  aggressive slave drivers.  Stay away.","You get Apple on your resume.  Engineers are nice for the most part.","Apr 28, 2019","Former"
"Apple","Hardware Engineer","Hardware Engineering/ QA / Battery Team/ Very Toxic work environment","Toxic work environment , specifically QA testing battery and hardware , a bad organization , insecure , bully managers, lawyers as managers, thermal, battery the rock bottom of insanity, toxicity. human resource is a accomplice in all harassments that happen to engineers.  Apple is bad do not work at Apple","25% discount of Apple devices","Apr 25, 2019","Former"
"Apple","Software Engineer","Needs new leadership","Leadership is lacking over the years.  More and more emphasis are being placed on political influencing instead of focusing on the technology.  Company used it’s large presence to bully individuals with disabilities especially veterans.","There were good opportunities and some cool technologies.  Teams are in general awesome.  Communications and desire to build a great product is evident throughout engineers.","Jan 16, 2019","Former"
"Apple","IOS QA Software Engineer","No personal growth","No transparency across teams which greatly limits personal growth. If you're curious on expanding beyond your role or even learning how a large scale company works, this is not the company for you.

In addition, the benefits are terrible compared to most companies in the area.","Large company means low pressure compared to startups.","Jan 7, 2019","Former"
"Apple","Software Engineer","Software engineer","No growth and development for new engineers","Nothing in good about the culture","Oct 20, 2018","Current"
"Apple","Software Engineer","Poor Executives and Culture in IS&T","1.Behaves like a startup in most teams.
2.Each employee is responsible for roughly one project alone. They have to pitch it for support and executive funding (and a continued job security).
3.Culture is cut throat and up for your interpretation (I.e, you have to put in a lot of work to find ways of fitting in. This revolves around generating more profits for apple).
4.Poor planning on management side for employees like career growth and opportunities.
5. Benefits are for show. Wanting to pursue them in IS&T is close to impossible and political.
6. There is a very transactional mindset within the job.
7. Work gets very tough and there isn't a specific structure of support.
8. People from software engineering side of Apple behaves as though they are ""better"".","1.Lots of opportunities to try new things like a startup.
2. Great for going through the motion and earning money.","Sep 11, 2018","Former"
"Apple","IOS App Reviewer","iOS App Reviewer - don't take this job.","This is not only an honest review of the App Reviewer position, but as many recent reviews here also a cry for help. This department is in shambles. The mixture of horrible management and a toxic environment that becomes worse and worse with every passing day is not sustainable. 
People reading these reviews might be confused as to why some are positive and some so negative. I will clarify that for you - look at the dates! Once upon a time working here was amazing. The previous director knew you by name and the team was very tight and close. We all worked hard but were also rewarded. More than anything there was a true sense of teamwork and community. You could rely on one another. Everyone was there to help each other no matter what their role in the department was. This is one of the most diverse departments in all of Apple and that used to be celebrated. People were happy and proud to work on that team and for each other. The older positive reviews are for the golden age of App Review. Unfortunately, those days are long long gone. 
So what happened? Management changes. And it’s been a free fall ever since. The new director put in is never there and just doesn’t care about his employees. His only concern since being put in this role has been the implementation of new tools that he created without ever having any kind of understanding or insight on how the reviewers do their jobs.
They started hiring people from AppleCare - arguably the worst department of Apple corporate. First it was the current operations manager who just has been hiring his cronies ever since. Instead of hiring from within with more than qualified candidates who also have a deep understanding and knowledge of the job function and where to improve he brings up his friends from AppleCare of his golf buddy. The managers that were with the department before have become spineless as their complaints fall on deaf ears too. Most just come in to work everyday to collect their paychecks and wait for their stocks to vest. The others have become so stressed out and take it out on reviewers by micromanaging every aspect of their time at work from what time you punch in to how long you take in the bathroom to checking your screens to see what you’re doing. Their unhappiness and helplessness trickles down to the already unhappy reviewers. 
Instead of being a united team this department is now filled with interoffice politics and drama. We no longer have fun events. we no longer have lunch provided. We work longer hours and significantly less flexible shifts. Reviewers are in fear of talking to each other and everyone is on edge. Other departments at Apple have figured this out and will not hire you from App Review. They dont want to touch us with a 10 foot pole. And so unless you decide to start sucking up with the head of operations you have no future in Apple in this department or otherwise. And trust me you do not want to be at a dead end job with this high of a work toxicity level. And if you still decide to take this job you cant say you weren’t warned.","For the time being this job comes with most of the full time benefits many other Apple employees get.","Jun 26, 2018","Current"
"Apple","Senior Engineer","No work life balance","No work life balance.
Pay not even close to other FAANG.
Too much of cockiness, every engineer is busy proving someone wrong
Managers are just engineers with terrible people skills","Rare beer bash, nothing else really","May 26, 2018","Current"
"Google","Software Engineer","Good","can be difficulty depends on team","Good to work at times","Nov 15, 2022","Current"
"Google","Senior Software Engineer","NA","Not Applicable NA NA NA","It's a very great company.","Nov 4, 2022","Current"
"Google","Software Engineer","Bad","Everything else sucks a lot.","Good benefits, 401K, wellness center.","Sep 23, 2022","Current"
"Google","Senior Engineer","Large computer desk","Desk was too large. Only had two monitors, was expected to have six.
Management can be hit or miss on understanding product features and how they relate to the user experience.
Product bloat.","Very large desk. Had the largest desk in the open floorplan office.
Free food.
Always something interesting happening.","Aug 2, 2022","Former"
"Google","Software Engineer","Ok","Too much slack. Vey conventional hiring that leads to privileged, static minded employees.","Nice company to work for","Jul 28, 2022","Former"
"Google","Software Engineer","Meh","Evil big tech corporation that is ruining the world","the lunches that slowly steal your soul","Jul 22, 2022","Current"
"Google","Project Engineer","Bad","Long hours miss management no insurance","Bad good worse missed long hours","Jul 13, 2022","Current"
"Google","Software Engineer","Bad","Very bad people and dumb management","Very high pay and nice offices","Jun 16, 2022","Current"
"Google","Engineer","Garbage","Everything was terrible it's google","Nothing, it is an evil tech comany","May 26, 2022","Current"
"Google","Google Engineering Practicum","not good","Lots of bias. Too much of a monopoly.","Nothing is good here, period.","May 21, 2022","Current"
"Google","Software Engineer","Good work but less pay","less pay and few RSU","Good work
smart people
free food
2 days wfh","May 16, 2022","Current"
"Google","Software Engineer","Not goos","It gives salaries to the same thing as","I felt discriminated against for no reason","May 9, 2022","Current"
"Google","Software Engineer","Not great","Everything else is pretty bad","The pay is not bad","Mar 19, 2022","Current"
"Google","Software Engineer","Meh","No purpose or fulfillment from work","Nice work office environment in office","Mar 13, 2022","Current"
"Google","Software Developer","yeup","it’s google i mean what else can i say","fun, perks, work life balance, free food","Mar 11, 2022","Current"
"Google","Software Engineer","Don't believe the lies. Google is a hellhole to work at","It's very stressful. The snacks suck. Supervisors are very mean.","There is nothing good about working at Google.","Feb 25, 2022","Current"
"Google","Website Manager","Great food bar, little purpose","feels like you have no purpose working for a company so large.","great food bar at the campus!","Feb 22, 2022","Current"
"Google","Software Engineer","It sucks","Don't do it if you care about meaningful work.","The pay and prestige that comes with working at G.","Feb 9, 2022","Current"
"Google","Flight Test Engineer","Honestly, look elsewhere.","Horrible company culture, absolutely terrible to contractors and support staff. Wing specifically had multiple lawsuits levied against them for blatant discrimination against Veterans, and the unsafe working environment. Really isn't that great of a company to work for, unless you like having zero work / life balance.","Free food, that's about it. Pay isn't worth the hours / company culture.","Dec 16, 2021","Current"
"Google","Software Engineer","Google is downsizing research","pay is being less and less competitive","solid tech stack for years","Dec 14, 2021","Current"
"Google","Google Engineering Practicum","Boring","I don’t even knife anything","Cool and very annoying and boring","Dec 12, 2021","Current"
"Google","Software Engineer","Good","Work lift balance is rough","Good place to work. 
Good salary 
Good Benefits","Dec 11, 2021","Current"
"Google","Senior Software Engineer","salary","no give promotion to me","good salary for juniors programmer","Nov 26, 2021","Current"
"Google","Senior Software Engineer","Made me loose my hair","Long hours and a stressful workplace. And no one addressed me by the right pronouns","The comp is very good","Oct 28, 2021","Former"
"Google","Software Engineer","Miserable place to work","they don't actually want you to work, they just use up their time","Free food, money, great benefits","Sep 12, 2021","Former"
"Google","Head Engineer","privacy","they are selling your data to china","the money is insane soo much to go around","Sep 11, 2021","Former"
"Google","Senior Software Engineer","Worst culture","Horrible culture, slow processes, dying soul.","Good pay and great food.","Aug 24, 2021","Current"
"Google","Senior Lead Engineer","Go woke, go broke","Not based in reality whatsoever","Never work there if you have morals","Jun 29, 2021","Former"
"Google","Software Engineer","Google review","promo process sucks, pay system sucks (you are not going to get any refresher if you join in Janunuary)","good worklife balance; good benefits; free food","May 12, 2021","Current"
"Google","Software Engineer Intern","Chill company but boring","Too big, very slow, and very systematic","Great Work life balance (low work)","Apr 21, 2021","Current"
"Google","Software Engineer (Swe II)","Supper nice company","Anything you can imagine and dream.","Everything you can think of","Apr 16, 2021","Current"
"Google","Software Engineer","Code","Boring, lazy, sleep, and, or","Cool, awesome, nice, Indiana, even","Mar 9, 2021","Former"
"Google","Software Engineer","Google is an Indian Shop","No integrity starting from the management","If you are an indian or want to be an indian, it might be a fit for you.","Mar 3, 2021","Current"
"Google","Backend Developer","Great place to work","highly competitive high pressure bad boss","high salary great compensation nice food","Feb 23, 2021","Former"
"Google","Senior Java Developer","Very Not Good","All of them Seriously, I mean it","None None None None None","Feb 16, 2021","Current"
"Google","Embedded Software Engineer","Good pay, bad ethics","Ethically challenged
Money over privacy 
Long hours","Good pay
People are nice
Learning opportunities","Jan 26, 2021","Former"
"Google","Software Engineer","Pays well but job sucks","Everything else like a bunch of libtard employees","Good pay and benefits and stuff","Jan 24, 2021","Current"
"Google","Software Engineer","review","Company direction is unethical and causes concern","remote work policy is okay","Jan 12, 2021","Former"
"Google","Engineer","Oppression","The worst place to work rver","None none none none none","Jan 2, 2021","Former"
"Google","Software Engineer","Software Engineer","Racism among the corporation is terrible","Reputation is the best in the industry","Dec 29, 2020","Current"
"Google","Software Engineer","good","none no cons I can think of","very nice benefits and cafeteria","Dec 23, 2020","Former"
"Google","SVP-Technology","Bad","Everything. People. Management. Culture. Environment","Dont join. It's just bad","Nov 25, 2020","Current"
"Google","Software Developer","Life at Google","No work and life balance","Good package.
Good staff and peoplr.","Oct 14, 2020","Current"
"Google","Devops Engineer","Never try to work in google","You need to work overtime","Good tech stack, you can learn too much","Sep 7, 2020","Current"
"Google","Database Administrator","ergerg","a bad and very bad manager","good and very good service","Aug 24, 2020","Former"
"Google","Software Engineer","Misogynistic. Toxic. Retaliatory.","Google is the most toxic place that I have ever worked. Everyone is obsessed with levels. Yet, levels are largely determined by personal connections and stereotypes. I found out after I started that some employees had spent years researching the hiring system to game it. My coworkers were all significantly less qualified than my peers at prior jobs. My recruiter did not understand anything on my resume and pointed out that it was very different than all the resumes that she saw from entry level men. She assumed that meant that I was less qualified than them and never considered that I was far more qualified. She kept saying things that were horrifically sexist. She attempted to route me towards a non-technical position even after I had passed the interview and gotten approval from the hiring committee. The hiring processes are set up such that the recruiters determine someone's level and the interviewers and hiring committee cannot fix a mistake no matter how glaring. This results in some employees being underleveled. Most experienced women are underleveled by at least one level, but some are underleveled by multiple levels. Other employees are overleveled. This results in an entirely toxic culture. The underleveled employees are wondering what's wrong with them that their entire careers suddenly evaporated. The overleveled employees are extremely insecure and resort to bullying the underleveled employees (mostly women and people of color) because they know that they're less qualified than the underleveled employees. Even the managers who recognize what's happening are unable to fix the problems because HR is more concerned with covering up the problem. As a result, underleveled employees are being given work far below their competence level (because HR won't allow them to get higher level work) and told that they have to prove themselves again.su","Money. That is the only pro.","Jul 12, 2020","Former"
"Google","Software Engineer","job is meaningless","99.9% of projects/employees have no meaningful impact on the universe, or even the company itself.","They pay you a ton of money and feed you well.","Jul 8, 2020","Former"
"Google","Software Engineer","OKay","It's google and everyone will know you're working there","Not the best, not the worst","Jan 22, 2020","Current"
"Google","User Experience Engineer","Declining at a steady pace","- The food is free but it's become considerably worse. Specially in the Mountain View campus.
- Traffic going into campus is at all time worst
- Headcount openings for UX are at all time low
- Large amount of products getting canceled after people worked on them for 7-14 months
- Promotion biases people to work on whats important for them not whats important for the company
- The open culture is gone. Google canceled TGIF, and is locking down tons of documents that used to be available.
- The fear and obsession with empowering minorities forces them to nerf majorities by preventing them from getting promoted or getting the best work assignments
- Short selling current employees and new hires on base pay and overall TC
- Forcing shady chrome extension into employees computers without fully disclosing what they do; refusing to open the design doc for it even after people complained about transparency","- Smart people
- Products that affect millions
- If you're junior it's a great learning experience
- Ability to move to other teams in the company","Dec 12, 2019","Current"
"Google","Mechanical Engineer","Worst place.. Highly Crony in work culture","> Empire building work culture
> Very bad management strategy
> Even worse HR policies
> One of the big juggernauts that will slowly destroy itself from the inside
> Slave labor camp (Not a dignified) for H1Bs and TVCs
> Exploiting people and their time for self-benefits and stupid projects
> Hiding behind money and playing with people's and user's emotions

This is not going to end well for the world.","Name and Title is all you get.","Nov 4, 2019","Current"
"Microsoft","SRE Engineer","Management Sucks","Managers make or break your experience here.","Big campus that no one uses anymore.","Nov 18, 2022","Current"
"Microsoft","Software Engineer","g","your the and it say","the corn dog animal car","Oct 6, 2022","Current"
"Microsoft","Software Engineer II SDE2","Very high work load in Azure Core","- High work load in azure core and high attrition - Lower pay compared to other top tier SWE companies","Good benefits and brand name. Relatively stable job. Hard to get laid off","Oct 3, 2022","Current"
"Microsoft","Software Development Engineer (SDE)","Poor management and horrible comp","Poor management
Backstabbing culture
No career advancement
Lowest comp","Good campus and big name","Oct 3, 2022","Current"
"Microsoft","Software Developer","toxic","toxic, wlb couldnt be worse, manager push hard","401k match, perks, pto, parental leave","Sep 26, 2022","Current"
"Microsoft","Software Engineer","onboarding remotely is a nightmare","the onboarding process remotely is a nightmare, no real culture when working remotely","comp/benefits, a lot of different teams to move around","Sep 12, 2022","Current"
"Microsoft","Solutions Architect","Overestimated","This text box is not big enough","Nice environment.
Good breakfast.
Big parking area.","Aug 24, 2022","Former"
"Microsoft","Software Engineer II","Poor culture and pay","Poor work life balance
Poor pay","Working the latest technology .NET","Aug 17, 2022","Current"
"Microsoft","Cloud Solutions Architect","Unchallenged","I'm busy but bored. If you know what you are doing you will find that you are unchallenged. I regret leaving my consulting company where I was always learning.","Good management team who are trying to improve D& I. We are not there yet.","Aug 15, 2022","Current"
"Microsoft","Software Engineer II","Azure is brutal","Azure is absolutely brutal. So much work. Very hard to transfer to an easier team. If you apply to Microsoft, make sure you're not applying to Azure.
It's proprietary software. Anything you learn will most likely not be useful elsewhere.","Great company overall. Great benefits and wlb on most teams","May 30, 2022","Current"
"Microsoft","Software Engineer","Doesn't recommend to join","Its a waste company. Have offered me a offer after processing everything, when i am ready to join, after releasing offer and approving the offer , 30 days they have canceled offer after acceptance saying you were not selected.","no pros, large company with brand name","May 23, 2022","Former"
"Microsoft","Software Engineer","Good wlb poor pay","poor overall pay compared to other big tech","Good wlb poor overall pay compared to other big tech","May 6, 2022","Current"
"Microsoft","Software Development Enginner-||","Terrible Comapny","Everything about this company is capitalist trash","""it's microsoft"" so you should be happy","May 3, 2022","Former"
"Microsoft","Software Engineer","not good","horrible wlb, unreasonable oncall shifts, low compensation","cannot think of any pros","Apr 26, 2022","Current"
"Microsoft","Computer Programmer","Title","It is very boring to work there","You make a lot of money","Apr 19, 2022","Former"
"Microsoft","Software Development Engineer II","very political","hunger games style political plots.","working there was like a exercise in deceit and deception. Useless work repeated for years only because management prefers denial over course correction.","Mar 27, 2022","Current"
"Microsoft","Ball Inspector","great people","a lot of cons lol","great for the kids yay","Feb 17, 2022","Current"
"Microsoft","Chief Software Engineer","Ok","very high pressure environment, thats why I left.","it was ok, definitely a stressful environment.","Feb 8, 2022","Current"
"Microsoft","Software Engineer","Extorting people, paying peanuts, dumb managers","- Very low qualifications of engineers and managers
- Very low paying (new employees with 2 YOE earn more than old employees with 5+ YOE)
- Disgusting culture
- Promoting those who talk a lot, and not noticing who actually deliver a lot","- Work Life Balance, some people can work 1 hour per day and still be promoted","Feb 7, 2022","Former"
"Microsoft","Software Development Engineer (SDE)","Microsoft","Stale environment. Toxic relationship among coworkers.","WLB is good. Relative stable.","Jan 17, 2022","Former"
"Microsoft","Software Engineer","Good company with no policies to keep managers power in check","Your growth will never reflect your work, relationship with the manager and doing things to please them will.
In theory the company tries to be a great place to work but from the inside its clear that you will be part of 
1. Zero work life balance team handling interesting work with minimum growth.
2. Relaxed team with no value addition to your career.","Interesting work
Growing stock price
Health benefits","Nov 19, 2021","Current"
"Microsoft","Software Development Engineer (SDE)","Ok, not great","Perf reviews are bad and frustrating","Salary is ok compared to other comoanies","Oct 12, 2021","Current"
"Microsoft","Software Engineer II","Slow career progression, bad culture","- Bad culture, getting worse by the day with Amazon culture seeping in with every new hire
- Bad wlb in a major chunk of the company 
- Politics
- Bad career progression(even when you have bad wlb and work a lot)","- Good to have on your resume.
- Some good teams to retire in.
- Some teams have good managers","Sep 29, 2021","Former"
"Microsoft","Software Engineer","Poor management that doesn't care about you","- They believe that raising leads and managers from the ranks will always work. The result is managers and leads who don't know how to manage a diverse set of employees and instead simply look to forward their career. Managers can be caustic and will happily play favorites.
- Pay is below comparable companies
- Work life balance is given lip service but never actually improved.
- While working remote, people are often impossible to get a hold of unless you nag nag nag. Your management will yell at you for not being creative enough about how you nag people if you tell your management you're blocked by someone else.
- Be ready to be combative with management. They won't always help you, argue for you or be understanding. Some leads will be good, many will not.","- Mostly stable company
- Some cool projects to work on.
- You get to work on products that are used globally.
- Decent healthcare.
- Stock price is decent right now.","Sep 25, 2021","Former"
"Microsoft","Software Engineer","Developer","low salary big salary bonus","Lunches Dinner Snacks Drinks Travel","Sep 15, 2021","Current"
